Título,doi,arxiv,pmid,isbn,doi_score,arxiv_score,pmid_score,isbn_score,are_scores_different,final_score,cited_by_tweeters,cited_by_rdts,readers_count,cited_by_posts_count,cited_by_feeds_count,cited_by_accounts_count,cited_by_msm_count,cited_by_fbwalls_count,cohorts,cited_by_videos_count,cited_by_gplus_count
Brain functional connectivity in regions that exhibit age-related cortical thinning,10.11606/D.59.2018.TDE-17042018-130342,,,,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,https://api.altmetric.com/v1/doi/10.11606/D.59.2018.TDE-17042018-130342,,,,
Conditional propagation of chaos for mean field systems of interacting neurons,,1909.02925,,,,0.25,,,,0.25,,,,,,,,,,,
d-Lysergic acid diethylamide has major potential as a cognitive enhancer,10.1101/866814,,,,27.65,,,,,27.65,45,https://api.altmetric.com/v1/doi/10.1101/866814,29.00,48.00,https://api.altmetric.com/v1/doi/10.1101/866814,45.00,https://api.altmetric.com/v1/doi/10.1101/866814,https://api.altmetric.com/v1/doi/10.1101/866814,34.00,https://api.altmetric.com/v1/doi/10.1101/866814,https://api.altmetric.com/v1/doi/10.1101/866814
Dreaming during the Covid-19 pandemic: Computational assessment of dream reports reveals mental suffering associated with negative feelings and contagion fear,10.1101/2020.05.19.20107078,,,,131.00,,,,,131,33,https://api.altmetric.com/v1/doi/10.1101/2020.05.19.20107078,40.00,48.00,https://api.altmetric.com/v1/doi/10.1101/2020.05.19.20107078,47.00,14.00,https://api.altmetric.com/v1/doi/10.1101/2020.05.19.20107078,32.00,https://api.altmetric.com/v1/doi/10.1101/2020.05.19.20107078,https://api.altmetric.com/v1/doi/10.1101/2020.05.19.20107078
Dreaming during the Covid-19 pandemic: Computational assessment of dream reports reveals mental suffering related to fear of contagion,10.1371/JOURNAL.PONE.0242903,,33253274,,304.57,,304.57,,,304.574,38,https://api.altmetric.com/v1/doi/10.1371/JOURNAL.PONE.0242903,85.00,89.00,7.00,77.00,32.00,https://api.altmetric.com/v1/doi/10.1371/JOURNAL.PONE.0242903,33.00,https://api.altmetric.com/v1/doi/10.1371/JOURNAL.PONE.0242903,https://api.altmetric.com/v1/doi/10.1371/JOURNAL.PONE.0242903
Dynamical neuronal gains produce self-organized criticality in stochastic spiking neural networks.,10.3389/CONF.FNINF.2016.20.00059,,,,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,,,,,-1,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00059,,,,
Emergência de flutuações de atividade em modelos de redes corticais com populações neurais heterogêneas,10.11606/T.59.2019.TDE-18012019-095012,,,,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,https://api.altmetric.com/v1/doi/10.11606/T.59.2019.TDE-18012019-095012,,,,
Enhanced optical cross-section of radiation induced defect centers under plasmon resonance conditions: Shifting stimulation wavelength of optically stimulated luminescence dosimeters,10.1016/J.JLUMIN.2020.117841,,,,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,,,,,-1,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,https://api.altmetric.com/v1/doi/10.1016/J.JLUMIN.2020.117841,,,,
Estimating Parameters Associated with Monotone Properties,10.4230/LIPICS.APPROX-RANDOM.2016.35,,,978-3-95977-018-7,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,,,https://api.altmetric.com/v1/isbn/978-3-95977-018-7,,-1,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,https://api.altmetric.com/v1/doi/10.4230/LIPICS.APPROX-RANDOM.2016.35,,,,
Estimulação magnética transcraniana: uma breve revisão dos princípios e aplicações,10.29384/RBFM.2019.V13.N1.P49-56,,,,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,,,,,-1,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,https://api.altmetric.com/v1/doi/10.29384/RBFM.2019.V13.N1.P49-56,,,,
Evidence of Sleep Cycle Analogous to Vertebrate SWS/REM Alternation in the Octopus,10.2139/SSRN.3640822,,,,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,,,,,-1,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,https://api.altmetric.com/v1/doi/10.2139/SSRN.3640822,,,,
Flag algebras and tournaments,10.11606/D.45.2015.TDE-12082015-093248,,,,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,https://api.altmetric.com/v1/doi/10.11606/D.45.2015.TDE-12082015-093248,,,,
Goalkeeper game: a new assessment instrument in neurology showed higher predictive power than moca for gait performance in people with parkinson’s disease,10.1101/400457,,,,3.00,,,,,3,8,https://api.altmetric.com/v1/doi/10.1101/400457,6.00,8.00,https://api.altmetric.com/v1/doi/10.1101/400457,8.00,https://api.altmetric.com/v1/doi/10.1101/400457,https://api.altmetric.com/v1/doi/10.1101/400457,6.00,https://api.altmetric.com/v1/doi/10.1101/400457,https://api.altmetric.com/v1/doi/10.1101/400457
Granger causality in the frequency domain: derivation and applications,10.1590/1806-9126-RBEF-2020-0007,,,,1.00,,,,,1,4,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007,16.00,4.00,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007,4.00,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007,3.00,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007,https://api.altmetric.com/v1/doi/10.1590/1806-9126-RBEF-2020-0007
Head and gaze tracking of unrestrained marmosets,10.1101/079566,,,,3.35,,,,,3.35,8,https://api.altmetric.com/v1/doi/10.1101/079566,16.00,8.00,https://api.altmetric.com/v1/doi/10.1101/079566,8.00,https://api.altmetric.com/v1/doi/10.1101/079566,https://api.altmetric.com/v1/doi/10.1101/079566,7.00,https://api.altmetric.com/v1/doi/10.1101/079566,https://api.altmetric.com/v1/doi/10.1101/079566
Interacting diffusions on sparse graphs: hydrodynamics from local weak limits,10.1214/20-EJP505,,,,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,,,,,-1,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,https://api.altmetric.com/v1/doi/10.1214/20-EJP505,,,,
Magnetic separation of iron oxide nanoparticles to improve their application for magnetic particle imaging,10.1088/1361-6560/ABCD19,,33227720,,2.10,,2.10,,,2.1,3,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19,6.00,4.00,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19,3.00,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19,2.00,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19,https://api.altmetric.com/v1/doi/10.1088/1361-6560/ABCD19
Model selection for discrete Markov random fields on graphs,10.11606/T.45.2018.TDE-02022018-151123,,,,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-02022018-151123,,,,
Modelagem estocástica de uma população de neurônios,10.11606/T.45.2014.TDE-22092014-090046,,,,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,https://api.altmetric.com/v1/doi/10.11606/T.45.2014.TDE-22092014-090046,,,,
Modeling Hippocampal CA1 Gabaergic Synapses of Audiogenic Rats,10.1142/S0129065720500227,,32285725,,11.00,,11.00,,,11,1,https://api.altmetric.com/v1/doi/10.1142/S0129065720500227,7.00,2.00,https://api.altmetric.com/v1/doi/10.1142/S0129065720500227,2.00,1.00,https://api.altmetric.com/v1/doi/10.1142/S0129065720500227,1.00,https://api.altmetric.com/v1/doi/10.1142/S0129065720500227,https://api.altmetric.com/v1/doi/10.1142/S0129065720500227
Modelos computacionais prognósticos de lesões traumáticas do plexo braquial em adultos,10.11606/D.45.2018.TDE-20082018-140641,,,,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,https://api.altmetric.com/v1/doi/10.11606/D.45.2018.TDE-20082018-140641,,,,
Modelos de redes neurais com neurônios estocásticos e diferentes topologias: construção e análise,10.11606/D.59.2019.TDE-20092019-142746,,,,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,https://api.altmetric.com/v1/doi/10.11606/D.59.2019.TDE-20092019-142746,,,,
Multiple Phase Transitions for an Infinite System of Spiking Neurons,,2102.03416,,,,0.25,,,,0.25,,,,,,,,,,,
NES: a free software to manage data from neuroscience experiments,10.3389/CONF.FNINF.2016.20.00043,,,,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,,,,,-1,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,https://api.altmetric.com/v1/doi/10.3389/CONF.FNINF.2016.20.00043,,,,
Número de Ramsey relativo a arestas de potências de caminhos,10.5753/ETC.2017.3198,,,,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,,,,,-1,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3198,,,,
On the Number of Orientations of Random Graphs with No Directed Cycles of a Given Length,10.37236/3699,,,,https://api.altmetric.com/v1/doi/10.37236/3699,,,,,-1,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,https://api.altmetric.com/v1/doi/10.37236/3699,,,,
Perfil dos adolescentes em conflito com a lei que entraram no Instituto Socioeducativo do Estado do Espírito Santo (IASES) em 2014,10.17063/BJFS6(1)Y2016145,,,,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,,,,,-1,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,https://api.altmetric.com/v1/doi/10.17063/BJFS6(1)Y2016145,,,,
Predicting Upcoming Events Occurring in the Space Surrounding the Hand,10.1155/2021/6649135,,,,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,,,,,-1,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,https://api.altmetric.com/v1/doi/10.1155/2021/6649135,,,,
Processos de salto com memória de alcance variável,10.11606/T.45.2016.TDE-24032016-164013,,,,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,https://api.altmetric.com/v1/doi/10.11606/T.45.2016.TDE-24032016-164013,,,,
Reimplementation of the Potjans-Diesmann cortical microcircuit model: from NEST to Brian,10.1101/248401,,,,0.75,,,,,0.75,2,https://api.altmetric.com/v1/doi/10.1101/248401,6.00,2.00,https://api.altmetric.com/v1/doi/10.1101/248401,2.00,https://api.altmetric.com/v1/doi/10.1101/248401,https://api.altmetric.com/v1/doi/10.1101/248401,2.00,https://api.altmetric.com/v1/doi/10.1101/248401,https://api.altmetric.com/v1/doi/10.1101/248401
Selective Inhibition of Mirror Invariance for Letters Consolidated by Sleep Doubles Reading Fluency,10.1016/J.CUB.2020.11.031,,33338430,,117.65,,117.65,,,117.65,164,https://api.altmetric.com/v1/doi/10.1016/J.CUB.2020.11.031,38.00,176.00,https://api.altmetric.com/v1/doi/10.1016/J.CUB.2020.11.031,167.00,https://api.altmetric.com/v1/doi/10.1016/J.CUB.2020.11.031,3.00,30.00,https://api.altmetric.com/v1/doi/10.1016/J.CUB.2020.11.031,https://api.altmetric.com/v1/doi/10.1016/J.CUB.2020.11.031
Selective Inhibition of Mirror Invariance for Letters Doubles Reading Fluency,10.2139/SSRN.3542580,,,,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,,,,,-1,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,https://api.altmetric.com/v1/doi/10.2139/SSRN.3542580,,,,
Self-Switching Markov Chains: emerging dominance phenomena,,2010.13279,,,,0.25,,,,0.25,,,,,,,,,,,
Statistical complexity is maximized close to criticality in cortical dynamics,10.1103/PHYSREVE.103.012415,,,,10.00,,,,,10,18,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415,9.00,18.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415,18.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415,9.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.103.012415
